Name,Attack,Defence,Consumption
Richard Joseph,20,12,3
Stephen Jackson,17,18,7
Sylvia Henderson,14,11,5
Michael Moon,3,11,0
Michael Smith,13,11,5
Stephanie Elliott,16,20,2
Kathryn Weaver,11,12,0
Peter Collins,21,0,3
Savannah Gomez,10,4,1
Aaron Schroeder,5,0,0
Steven Dominguez,15,15,4
Crystal Banks,6,18,3
Christopher Johnson,3,10,5
Shane Jackson,6,16,4
Robert Reeves,4,20,4
Thomas Moran,12,2,7
Tammy Lee,1,7,1
Brittany George,20,0,5
Terry Clark,9,19,4
James Davidson,9,6,7
Cynthia Scott,3,13,7
Carolyn Hammond,7,12,7
Shannon Flores,21,13,2
Jennifer Smith,12,18,5
Monica Weaver,10,13,5
Paul Thompson,7,7,5
Eric Fernandez,9,10,5
Lisa Browning,3,7,9
Sarah Russell,20,14,6
Kelli Huffman,21,9,7
Robert Davis,21,10,6
Jennifer Pierce,20,8,4
John Turner,6,13,10
Ronnie Powell,12,11,5
Richard Welch,3,2,1
Justin Taylor,21,6,1
Autumn Gould,1,7,8
Luke Sanchez,5,2,7
Jean Miller,21,15,3
Joseph Davis,21,20,5
Carrie Weaver,10,10,8
